timestamp,saturation_status
2874846307,1
2875845615,1
2876846667,1
2877848608,1
2878846694,1
2879842220,1
2880838347,1
2881855165,1
2882852956,1
2883838239,1
2884839477,1
2885836872,1
2886848299,1
2887840291,1
2888853488,1
2889855111,1
2890843975,1
2891835924,1
2892841456,1
2893846535,1
2894844880,1
2895848922,1
2896841093,1
2897842643,1
2898846101,1
2899838714,1
2900853728,1
2901845970,1
2902842941,1
2903857517,1
2904856701,1
2905850656,1
2906842447,1
2907846144,1333
2908852144,1533
2909848695,1533
2910845078,1533
