timestamp,safety_switch_available,safety_off,override_available,override_enabled
2873579199,1,1,0,0
2874588850,1,1,0,0
2875595922,1,1,0,0
2876599019,1,1,0,0
2877606774,1,1,0,0
2878607914,1,1,0,0
2879612881,1,1,0,0
2880624001,1,1,0,0
2881632800,1,1,0,0
2882637799,1,1,0,0
2883643798,1,1,0,0
2884652465,1,1,0,0
2885653919,1,1,0,0
2886654348,1,1,0,0
2887660847,1,1,0,0
2888671982,1,1,0,0
2889677800,1,1,0,0
2890683448,1,1,0,0
2891688279,1,1,0,0
2892694836,1,1,0,0
2893696799,1,1,0,0
2894699138,1,1,0,0
2895706849,1,1,0,0
2896707912,1,1,0,0
2897713016,1,1,0,0
2898716813,1,1,0,0
2899721974,1,1,0,0
2900724807,1,1,0,0
2901734801,1,1,0,0
2902735916,1,1,0,0
2903744020,1,1,0,0
2904745214,1,1,0,0
2905750209,1,1,0,0
2906754914,1,1,0,0
2907763798,1,1,0,0
2908764013,1,1,0,0
2909769157,1,1,0,0
2910684844,1,0,0,0
