timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
2874574227,2874574041,2490386,1.1032481,0.4048595,-10.196666,42.524155,0,0,0,0,10
2875575198,2875575013,2490386,-1.1499351,-8.475953,-7.7579317,42.518116,0,0,0,0,10
2876574915,2876574724,2490386,-11.522096,-1.199974,-20.056229,42.524155,0,0,0,0,10
2877574623,2877574434,2490386,0.7582437,3.9865854,-27.528292,42.40338,0,0,0,0,10
2878576864,2878576673,2490386,-3.1986535,-0.044292733,-10.326192,42.469807,0,0,0,0,10
2879576569,2879576383,2490386,-0.36727056,-2.1784842,-15.609238,42.397343,0,0,0,0,10
2880573753,2880573566,2490386,7.9248075,-2.3041797,-0.102471836,42.475845,0,0,0,0,10
2881574730,2881574541,2490386,2.2311566,-0.2999935,-21.87223,42.487923,0,0,0,0,10
2882575704,2882575515,2490386,-1.436521,-6.318777,-7.5213847,42.288647,0,0,0,0,10
2883574149,2883573961,2490386,-4.230794,5.9155936,-17.732176,42.40942,0,0,0,0,10
2884575122,2884574940,2490386,-0.49464208,-4.6095567,-6.7650566,42.45169,0,0,0,0,10
2885576149,2885575910,2490386,3.9492357,0.37588966,-11.376049,42.397343,0,0,0,0,10
2886575811,2886575620,2490386,3.825695,-0.31004912,-5.9333105,42.512077,0,0,0,0,10
2887574267,2887574067,2490386,-9.155188,2.6463113,-16.068445,42.524155,0,0,0,0,10
2888575229,2888575041,2490386,-3.1016884,3.296337,-17.893066,42.512077,0,0,0,0,10
2889573673,2889573488,2490386,3.6777332,8.444828,-16.128778,42.481884,0,0,0,0,10
2890573403,2890573198,2490386,4.710592,-1.6599001,-12.654793,42.427536,0,0,0,0,10
2891574366,2891574174,2490386,-3.6449327,-4.8858476,4.2164288,42.41546,0,0,0,0,10
2892575325,2892575139,2490386,10.419806,4.344758,10.003933,42.355072,0,0,0,0,10
2893576298,2893576107,2490386,-0.6210559,-3.8352718,-17.968004,42.246376,0,0,0,0,10
2894574729,2894574545,2490386,3.7634456,-5.0881577,-2.150472,42.222225,0,0,0,0,10
2895574447,2895574248,2490386,10.329065,2.5206156,0.19752164,42.119564,0,0,0,0,10
2896576654,2896576476,2490386,-2.4995465,6.3245234,-15.285302,42.16184,0,0,0,0,10
2897575145,2897574912,2490386,-15.320975,-2.0264523,-15.368381,42.06522,0,0,0,0,10
2898574886,2898574612,2490386,2.4432828,-7.2561073,-1.5176845,41.992752,0,0,0,0,10
2899578291,2899578105,2490386,8.050504,4.185065,1.7446548,42.07126,0,0,0,0,10
2900575460,2900575275,2490386,0.5243302,-0.61483103,-0.46830586,42.059177,0,0,0,0,10
2901573912,2901573711,2490386,5.251442,6.646783,1.9086577,42.1558,0,0,0,0,10
2902574868,2902574680,2490386,5.3994036,1.9579781,-6.2443175,42.16184,0,0,0,0,10
2903575841,2903575642,2490386,-4.405092,0.34691983,-18.654423,42.149757,0,0,0,0,10
2904576845,2904576608,2490386,2.8095958,2.7609935,-13.12262,42.294685,0,0,0,0,10
2905574032,2905573782,2490386,0.33399114,6.4181366,-13.204022,42.041065,0,0,0,0,10
2906574955,2906574748,2490386,0.7872135,-0.95983547,-10.856507,42.149757,0,0,0,0,10
2907574649,2907574451,2490386,-5.862921,-1.3575124,-13.265314,42.077293,0,0,0,0,10
2908574337,2908574154,2490386,-1.0036494,-1.3019669,-10.270407,42.16184,0,0,0,0,10
2909574042,2909573856,2490386,-0.48267108,-0.9449914,-11.431595,42.240337,0,0,0,0,10
2910575056,2910574825,2490386,-0.4249708,-0.12785037,-9.647436,42.16184,0,0,0,0,10
