timestamp,timestamp_sample,device_id,error_count,pressure,temperature
2874545608,2874544666,6780705,0,1007.6833,44.26
2875541476,2875540557,6780705,0,1007.5939,44.26
2876538936,2876538020,6780705,0,1007.43823,44.26
2877533275,2877532358,6780705,0,1007.30255,44.27
2878529222,2878528306,6780705,0,1007.3457,44.26
2879568400,2879567457,6780705,0,1007.32605,44.27
2880564306,2880563391,6780705,0,1007.3161,44.27
2881560220,2881559304,6780705,0,1007.34766,44.27
2882556073,2882555157,6780705,0,1007.38116,44.28
2883552076,2883551157,6780705,0,1007.3494,44.28
2884547896,2884546958,6780705,0,1007.3683,44.27
2885543803,2885542887,6780705,0,1007.34894,44.28
2886539687,2886538758,6780705,0,1007.33655,44.27
2887535596,2887534680,6780705,0,1007.27997,44.26
2888531477,2888530561,6780705,0,1007.2573,44.25
2889570764,2889569757,6780705,0,1007.2803,44.26
2890566577,2890565657,6780705,0,1007.3414,44.219997
2891562482,2891561566,6780705,0,1007.3098,44.19
2892558414,2892557482,6780705,0,1007.2939,44.149998
2893554531,2893553522,6780705,0,1007.299,44.129997
2894550243,2894549325,6780705,0,1007.3019,44.09
2895546073,2895545158,6780705,0,1007.3679,44.07
2896541979,2896541059,6780705,0,1007.41296,44.05
2897538505,2897537533,6780705,0,1007.38873,44.03
2898533803,2898532887,6780705,0,1007.42944,44.02
2899573019,2899572058,6780705,0,1007.42615,44.0
2900568881,2900567965,6780705,0,1007.3815,43.98
2901564810,2901563895,6780705,0,1007.39465,43.98
2902560675,2902559760,6780705,0,1007.47125,44.0
2903556642,2903555726,6780705,0,1007.57904,44.0
2904552499,2904551582,6780705,0,1007.63654,44.01
2905548439,2905547490,6780705,0,1007.71246,44.01
2906544339,2906543406,6780705,0,1007.704,44.02
2907540221,2907539305,6780705,0,1007.64886,44.01
2908536134,2908535218,6780705,0,1007.71216,44.01
2909532093,2909531175,6780705,0,1007.738,44.02
2910571246,2910570258,6780705,0,1007.72504,44.02
